question,type,value,stream,notes
1,type,float,,
2,bool,True,,
3,int,2,,
4,int,10,,
5,int,200,,
6,list,"[[1, 6, 7, 8, {'x': 8, 'y': 5, 'z': 6}],
 [3, 4, 9, {'x': 9, 'y': 2, 'z': 4}],
 [5, 2, {'x': 3, 'y': 1, 'z': 7}]]",,
7,int,1,,
8,list,"[[1, 6, 7, 8, {'x': 8, 'y': 5, 'z': 6}],
 [3, 404, 9, {'x': 9, 'y': 2, 'z': 4}],
 [5, 2, {'x': 3, 'y': 1, 'z': 7}]]",,
9,int,9,,
10,list,"[[3, 404, 9, {'x': 9, 'y': 2, 'z': 4}],
 [1, 6, 7, 8, {'x': 8, 'y': 5, 'z': 6}],
 [5, 2, {'x': 3, 'y': 1, 'z': 7}]]",,
11,float,543,,tolerance=2
12,int,320,,
13,NoneType,None,Could not convert string to int.,
14,NoneType,None,Error with your input argument.,
15,list,"[2017, 2018, 2019, 2020, 2021, 2022]",,
16,float,3.325888236842226,,
17,int,91,,
18,int,8479,,
19,float,0.18181818181818182,,tolerance=0.0001
20,dict,"{'COMP SCI 300': 0.4683698296836983,
 'COMP SCI 304': 0.8835616438356164,
 'COMP SCI 310': 0.345679012345679,
 'COMP SCI 319': 0.6567164179104478,
 'COMP SCI 320': 0.33044554455445546,
 'COMP SCI 352': 0.29277566539923955,
 'COMP SCI 354': 0.20095238095238097}",,
21,Figure,plt.Figure(),,
22,Figure,plt.Figure(),,
23,Figure,plt.Figure(),,
