question,type,value,notes
1,int,72,
2,Figure,plt.Figure(),
3,list,"['Kewaunee County',
 'Calumet County',
 'Adams County',
 'Eau Claire County',
 'Milwaukee County',
 'Ashland County',
 'Wood County',
 'Dodge County',
 'Sauk County',
 'Clark County',
 'Pepin County',
 'Taylor County',
 'Iron County',
 'Outagamie County',
 'Florence County',
 'Oneida County',
 'Pierce County',
 'Grant County']",
4,float,0.022002661530554857,
5,float,89016.40396725974,tolerance=0.00001
6,list,"['Kewaunee County',
 'Calumet County',
 'Adams County',
 'Eau Claire County',
 'Milwaukee County',
 'Ashland County',
 'Wood County',
 'Dodge County',
 'Sauk County',
 'Clark County',
 'Pepin County',
 'Taylor County',
 'Iron County',
 'Outagamie County',
 'Florence County',
 'Oneida County',
 'Pierce County',
 'Grant County']",
7,dict,"{'Kewaunee County': 9304,
 'Calumet County': 19695,
 'Adams County': 17436,
 'Eau Claire County': 42151,
 'Milwaukee County': 418053,
 'Ashland County': 9656,
 'Wood County': 34088,
 'Dodge County': 37005,
 'Sauk County': 29708,
 'Clark County': 15076,
 'Pepin County': 3579,
 'Taylor County': 10582,
 'Iron County': 5999,
 'Outagamie County': 73149,
 'Florence County': 4780,
 'Oneida County': 30125,
 'Pierce County': 16132,
 'Grant County': 21581}",
8,float,0.9652534544116037,
9,float,0.03704265206670459,
10,str,'POP100 = 2.39*HU100 + -7910.46',
11,float,0.9958323488562859,
12,Figure,plt.Figure(),Train a linear regression model to predict population with land area
13,int,13,
14,Figure,plt.Figure(),
15,float,0.46705544316564085,
16,Figure,plt.Figure(),
17,Figure,plt.Figure(),
18,dict,,just_dict=True&key1=model1-avg&key2=model1-std&key3=model2-avg&key4=model2-std
19,float,0.35,
